Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Submitters,Release_Date,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
UPV00634,Human rotavirus A,GenBank,,OK334706,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1004/2018/G3P8,Rotavirus A,279,glycoprotein VP7,India,,Homo sapiens,feces,2018
UPV00637,Human rotavirus A,GenBank,,OK334709,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1042/2018/G3P8,Rotavirus A,279,glycoprotein VP7,India,,Homo sapiens,feces,2018
UPV00638,Human rotavirus A,GenBank,,OK334710,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1043/2018/G3P8,Rotavirus A,279,glycoprotein VP7,India,,Homo sapiens,feces,2018
UPV00647,Human rotavirus A,GenBank,,OK334719,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1134/2019/G3P4,Rotavirus A,279,glycoprotein VP7,India,,Homo sapiens,feces,2019
UPV00698,Human rotavirus A,GenBank,,OK334770,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-0946/2018/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2018
UPV00699,Human rotavirus A,GenBank,,OK334771,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-0954/2018/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2018
UPV00716,Human rotavirus A,GenBank,,OK334788,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1262/2019/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2019
UPV00724,Human rotavirus A,GenBank,,OK334796,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1313/2019/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2019
UPV00726,Human rotavirus A,GenBank,,OK334798,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1317/2019/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2019
UPV00729,Human rotavirus A,GenBank,,OK334801,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1359/2019/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2019
UPV00749,Human rotavirus A,GenBank,,OK356711,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1103/2019/G9P4,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2019
UPV00752,Human rotavirus A,GenBank,,OK356714,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-1621/2020/G2P4,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2020
UPV00779,Human rotavirus A,GenBank,,OL614935,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-0948/2018/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2018
UPV00780,Human rotavirus A,GenBank,,OL614936,"Mitra,S., Lo,M., Saha,R., Deb,A.K., Debnath,F., Miyoshi,S.I., Dutta,S., Chawla-Sarkar,M.",2022-05-08,RVA/Human-wt/IND/NIC-RV-0999/2018/G3P8,Rotavirus A,279,protease-sensitive protein VP4,India,,Homo sapiens,feces,2018
ULF48528,Rotavirus C,GenBank,,OM451035,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.",2022-02-23,SD-F3,Rotavirus C,279,NSP2,China,,Nyctereutes procyonoides,,2021
UFD98557,Rotavirus A,GenBank,,MZ966339,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/670/2019/G12P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2019
UFD98558,Rotavirus A,GenBank,,MZ966340,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/662/2019/G1P[8],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2019
UFD98568,Rotavirus A,GenBank,,MZ966350,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/641/2019/G1P[8],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2019
UFD98570,Rotavirus A,GenBank,,MZ966352,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/635/2019/G1P[8],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2019
UFD98593,Rotavirus A,GenBank,,MZ966375,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/591/2018/G12P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98603,Rotavirus A,GenBank,,MZ966385,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/571/2018/G8P[8],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98608,Rotavirus A,GenBank,,MZ966390,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/562/2018/G9P[8],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98609,Rotavirus A,GenBank,,MZ966391,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/561/2018/G3P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98612,Rotavirus A,GenBank,,MZ966394,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/556/2018/G3P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98613,Rotavirus A,GenBank,,MZ966395,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/553/2018/G8P[8],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98614,Rotavirus A,GenBank,,MZ966396,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/552/2018/G8P[8],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98617,Rotavirus A,GenBank,,MZ966399,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/546/2018/G3P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98623,Rotavirus A,GenBank,,MZ966405,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/541/2018/G12,Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98628,Rotavirus A,GenBank,,MZ966410,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/532/2018/G3P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98634,Rotavirus A,GenBank,,MZ966416,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/482/2018/G3P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
UFD98635,Rotavirus A,GenBank,,MZ966417,"Manouana,G.P., Niendorf,S., Tomazatos,A., Mbong Ngwese,M., Nzamba Maloum,M., Nguema Moure,P.A., Bingoulou Matsougou,G., Ategbo,S., Rossatanga,E.G., Bock,C.T., Borrmann,S., Mordmuller,B., Eibach,D., Kremsner,P.G., Velavan,T.P., Adegnika,A.A.",2021-11-24,RVA/Human-wt/GAB/473/2018/G3P[6],Rotavirus A,279,VP7 protein,Gabon,,Homo sapiens,feces,2018
QWC49116,Rotavirus A,GenBank,,MT939919,"Yuzhakov,A., Yuzhakova,K., Kulikova,N., Kisteneva,L., Cherepushkin,S., Smetanina,S., Bazarova,M., Syroeshkin,A., Grebennikova,T., Yuzhakov,A.G., Yuzhakova,K.A., Kulikova,N.Y., Kisteneva,L.V., Grebennikova,T.V.",2021-06-07,RVA/Hu-wt/RUS/Mos-281119-629/2019/G3P8,Rotavirus A,279,outer capsid glycoprotein VP7,Russia,,Homo sapiens,feces,2020
QWC49130,Rotavirus A,GenBank,,MT939933,"Yuzhakov,A., Yuzhakova,K., Kulikova,N., Kisteneva,L., Cherepushkin,S., Smetanina,S., Bazarova,M., Syroeshkin,A., Grebennikova,T., Yuzhakov,A.G., Yuzhakova,K.A., Kulikova,N.Y., Kisteneva,L.V., Grebennikova,T.V.",2021-06-07,RVA/Hu-wt/RUS/Mos-211119-613/2019/G9P8,Rotavirus A,279,outer capsid glycoprotein VP7,Russia,,Homo sapiens,feces,2020
QWC49131,Rotavirus A,GenBank,,MT939934,"Yuzhakov,A., Yuzhakova,K., Kulikova,N., Kisteneva,L., Cherepushkin,S., Smetanina,S., Bazarova,M., Syroeshkin,A., Grebennikova,T., Yuzhakov,A.G., Yuzhakova,K.A., Kulikova,N.Y., Kisteneva,L.V., Grebennikova,T.V.",2021-06-07,RVA/Hu-wt/RUS/Mos-201119-604/2019/G9P8,Rotavirus A,279,outer capsid glycoprotein VP7,Russia,,Homo sapiens,feces,2020
QWC49173,Rotavirus A,GenBank,,MT939976,"Yuzhakov,A., Yuzhakova,K., Kulikova,N., Kisteneva,L., Cherepushkin,S., Smetanina,S., Bazarova,M., Syroeshkin,A., Grebennikova,T., Yuzhakov,A.G., Yuzhakova,K.A., Kulikova,N.Y., Kisteneva,L.V., Grebennikova,T.V.",2021-06-07,RVA/Hu-wt/RUS/Mos-091019-519/2019/G2P4,Rotavirus A,279,outer capsid glycoprotein VP7,Russia,,Homo sapiens,feces,2020
BCM94571,Bovine rotavirus,GenBank,,LC592879,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH0979/2018/G6P[11],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2018-12-16
BCM94572,Bovine rotavirus,GenBank,,LC592880,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1046/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-02-02
BCM94573,Bovine rotavirus,GenBank,,LC592881,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1047/2019/G6P[1],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-02-02
BCM94574,Bovine rotavirus,GenBank,,LC592882,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1048/2019/G6P[1],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-02-02
BCM94575,Bovine rotavirus,GenBank,,LC592883,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1053/2019/G6P[1],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-02-02
BCM94576,Bovine rotavirus,GenBank,,LC592884,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1075/2019/G6P[11],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-02-02
BCM94577,Bovine rotavirus,GenBank,,LC592885,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1094/2019/G6P[11],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-02-02
BCM94578,Bovine rotavirus,GenBank,,LC592886,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1122/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-05-11
BCM94579,Bovine rotavirus,GenBank,,LC592887,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1128/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-05-11
BCM94580,Bovine rotavirus,GenBank,,LC592888,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1137/2019/G6P[11],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-05-11
BCM94581,Bovine rotavirus,GenBank,,LC592889,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1146/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-05-11
BCM94582,Bovine rotavirus,GenBank,,LC592890,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1207/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-07-21
BCM94583,Bovine rotavirus,GenBank,,LC592891,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1212/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-07-21
BCM94584,Bovine rotavirus,GenBank,,LC592892,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1221/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-07-21
BCM94585,Bovine rotavirus,GenBank,,LC592893,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1334/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-09-21
BCM94586,Bovine rotavirus,GenBank,,LC592894,"Hasan,M.A., Kabir,M.H., Miyaoka,Y., Yamaguchi,M., Takehara,K.",2021-05-08,RVA/Bovine-wt/JPN/AH1348/2019/G6P[5],Rotavirus A,279,outer capsid glycoprotein VP7,Japan,,Bos taurus,,2019-09-21
QSB36980,Equine rotavirus A,GenBank,,MT211950,"Dong,J., Liu,G., Suo,J., Zhu,W.",2021-03-01,,Rotavirus A,279,VP4,China,,Equus asinus,,2019
QHU23887,Avian rotavirus A,GenBank,,MN648945,"Duarte,J.W.B. Jr., Chagas,E.H.N., Serra,A.C.S., Souto,L.C.S., Penha,E.T. Jr., Bandeira,R.S., Oliveira,H.G.S., Sousa,T.K.S., Lopes,C.T.A., Domingues,S.F.S., Salvarani,F.M., Mascarenhas,J.D.P., Duarte,J.W.B., Penha,E.T.",2020-12-05,,Rotavirus A,279,Translation enhancer,"Brazil: Para, Castanhal",,Accipitridae,feces,2018
QNL09600,Rotavirus A,GenBank,,MT381998,"Awandkar,S.P., Kulkarni,M.B., Deshmukh,S.S.",2020-08-31,cNM1,Rotavirus A,279,outer capsid protein VP4,India,,Bos taurus,,2020
QNL09602,Rotavirus A,GenBank,,MT382000,"Awandkar,S.P., Kulkarni,M.B., Deshmukh,S.S.",2020-08-31,cMW1,Rotavirus A,279,outer capsid protein VP4,India,,Bos taurus,,2020
QNL09604,Rotavirus A,GenBank,,MT382002,"Awandkar,S.P., Kulkarni,M.B., Deshmukh,S.S.",2020-08-31,cWM2,Rotavirus A,279,outer capsid protein VP4,India,,Bos taurus,,2020
QNL09605,Rotavirus A,GenBank,,MT382003,"Awandkar,S.P., Kulkarni,M.B., Deshmukh,S.S.",2020-08-31,bNM1,Rotavirus A,279,outer capsid protein VP4,India,,Bubalus bubalis,,2020
QNL09609,Rotavirus A,GenBank,,MT382007,"Awandkar,S.P., Kulkarni,M.B., Deshmukh,S.S.",2020-08-31,bMW1,Rotavirus A,279,outer capsid protein VP4,India,,Bubalus bubalis,,2020
XKM26345,Porcine rotavirus A,GenBank,,PQ567310,"Ning,L.Y.A.",2024-11-23,63,Rotavirus A,280,vp4 protein,China,,Sus scrofa,,2023-10
XKR89339,Rotavirus B,GenBank,,PP898331,"Krasnikov,N., Gulyukin,A., Aliper,T., Yuzhakov,A.",2024-11-22,RVB/Pig-wt/RUS/KRSN5-2/2023,Rotavirus B,280,non-structural protein 3,Russia: Krasnoyarsk Krai,,Sus scrofa domesticus,feces,2023-10-20
XKI30693,Porcine rotavirus A,GenBank,,PQ497267,"Lv,N.Y.A.",2024-11-19,HB791,Rotavirus A,280,VP7,China,,Sus scrofa,,2022-06
XGU13623,Rotavirus A,GenBank,,PQ310654,"Velikzhanina,E.I., Sashina,T.A., Epifanova,N.V., Kashnikov,A.Y., Novikova,N.A.",2024-09-18,RUS/NN69-23/2023/G3P8,Rotavirus A,280,outer capsid glycoprotein VP7,Russia,,Homo sapiens,feces,2023
XAX03495,Human rotavirus A,GenBank,,OR194167,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/19081017/2019/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2019
XAX03496,Human rotavirus A,GenBank,,OR194168,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/19112075/2019/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2019
XAX03497,Human rotavirus A,GenBank,,OR194169,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/19131003/2019/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2019
XAX03498,Human rotavirus A,GenBank,,OR194170,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/19131013/2019/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2019
XAX03499,Human rotavirus A,GenBank,,OR194171,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/19131018/2019/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2019
XAX03500,Human rotavirus A,GenBank,,OR194172,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/19292006/2019/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2019
XAX03501,Human rotavirus A,GenBank,,OR194173,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/21011011/2021/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03502,Human rotavirus A,GenBank,,OR194174,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/21011026/2021/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03503,Human rotavirus A,GenBank,,OR194175,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/21022054/2021/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03504,Human rotavirus A,GenBank,,OR194176,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/21062078/2021/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03505,Human rotavirus A,GenBank,,OR194177,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/21121109/2021/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03506,Human rotavirus A,GenBank,,OR194178,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/21131034/2021/G2,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03507,Human rotavirus A,GenBank,,OR194179,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/20292006/2020/G3,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2020
XAX03508,Human rotavirus A,GenBank,,OR194180,"Shen,L., Li,W., Yan,H.",2024-08-22,RVA/Human-wt/CHN/22160995/2022/G6,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2022
XAX03509,Human rotavirus A,GenBank,,OR194181,"Shen,L., Li,W., Yan,H.",2024-08-22,RVA/Human-wt/CHN/222901417/2022/G6,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2022
XAX03510,Human rotavirus A,GenBank,,OR194182,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/2112Y586/2021/G8,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03511,Human rotavirus A,GenBank,,OR194183,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/2112Y587/2021/G8,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03512,Human rotavirus A,GenBank,,OR194184,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/2112Y588/2021/G8,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03513,Human rotavirus A,GenBank,,OR194185,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/2112Y589/2021/G8,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03514,Human rotavirus A,GenBank,,OR194186,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/2112Y590/2021/G8,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
XAX03515,Human rotavirus A,GenBank,,OR194187,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/2112Y591/2021/G8,Rotavirus A,280,VP7,China,,Homo sapiens,feces,2021
